Position,Artist Name,Song Name,Days,Peak Position,Total Streams
1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,1,883369738
2,Juice WRLD ,Lucid Dreams,1673,1,864832399
3,Lil Uzi Vert ,XO TOUR Llif3,1853,1,781153024
4,J. Cole ,No Role Modelz,2547,7,734857487
5,Post Malone ,rockstar,1223,1,718865961
6,Travis Scott ,goosebumps,1995,8,672972704
7,The Weeknd ,Blinding Lights,1100,1,644287953
8,XXXTENTACION ,Jocelyn Flores,1673,2,624457164
9,XXXTENTACION ,SAD!,1217,1,619879245
10,Juice WRLD ,All Girls Are The Same,1681,5,613872384
11,Kendrick Lamar ,HUMBLE.,1175,1,606305588
12,Post Malone ,Circles,1172,1,598521764
13,Travis Scott ,SICKO MODE,1046,1,586638599
14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,1,583443174
15,Post Malone ,Congratulations,1215,5,546036924
16,Post Malone ,I Fall Apart,1278,2,543144261
17,Glass Animals ,Heat Waves,763,1,540754791
18,Drake ,God's Plan,634,1,534994242
19,Roddy Ricch ,The Box,650,1,504210201
20,J. Cole ,MIDDLE CHILD,1119,1,481985952
21,XXXTENTACION ,Fuck Love,1406,5,473417295
22,Post Malone ,Better Now,862,1,463551468
23,Drake ,One Dance,772,1,454267392
24,Olivia Rodrigo ,good 4 u,547,1,454100610
25,Juice WRLD ,Robbery,1086,2,443773199
26,Billie Eilish ,lovely,1250,18,437911914
27,Joji ,SLOW DANCING IN THE DARK,1496,26,437333177
28,XXXTENTACION ,Moonlight,923,2,431568186
29,Offset ,Ric Flair Drip (& Metro Boomin),1065,4,427614856
30,The Kid LAROI ,Stay,531,1,426712325
31,Lewis Capaldi ,Someone You Loved,952,5,410725370
32,Harry Styles ,Watermelon Sugar,988,3,409073262
33,Post Malone ,Wow.,699,1,405812776
34,Khalid ,Location,999,9,403645089
35,The Neighbourhood ,Sweater Weather,1050,12,400804036
36,Lil Baby ,Yes Indeed,970,2,400193604
37,The Chainsmokers ,Closer,696,1,397735618
38,Post Malone ,Psycho,607,1,396525691
39,The Weeknd ,The Hills,1243,1,392023505
40,Dua Lipa ,Levitating,738,3,387860108
41,Billie Eilish ,bad guy,652,1,385813103
42,Morgan Wallen ,Whiskey Glasses,1324,33,385368118
43,Olivia Rodrigo ,drivers license,613,1,381085710
44,Doja Cat ,Kiss Me More,550,1,376965422
45,DaBaby ,ROCKSTAR,549,1,373388283
46,Lil Nas X ,INDUSTRY BABY,472,1,373383279
47,The Weeknd ,Starboy,785,1,368997138
48,Childish Gambino ,Redbone,1075,8,363834232
49,Lil Mosey ,Blueberry Faygo,603,2,355016723
50,Meek Mill ,Going Bad,638,2,349994217
51,Khalid ,Young Dumb & Broke,904,5,349563888
52,Harry Styles ,As It Was,273,1,348668080
53,Ed Sheeran ,Shape of You,618,1,348283656
54,Ariana Grande ,7 rings,559,1,332694161
55,Billie Eilish ,when the party's over,787,5,331192577
56,Kendrick Lamar ,LOVE. FEAT. ZACARI.,814,5,329243971
57,Cardi B ,I Like It,548,2,329059657
58,Lizzo ,Truth Hurts,535,2,321459791
59,Halsey ,Without Me,617,5,320826979
60,Logic ,18002738255,590,1,320245347
61,Bebe Rexha ,Meant to Be,801,15,318478528
62,Ariana Grande ,"thank u, next",463,1,317987550
63,BlocBoy JB ,Look Alive,495,2,316629241
64,Marshmello ,Happier,650,5,316018345
65,James Arthur ,Say You Won't Let Go,1083,14,315132103
66,Arizona Zervas ,ROXANNE,536,1,314843202
67,24kGoldn ,Mood,547,1,314504480
68,Drake ,Nice For What,467,1,313324663
69,blackbear ,hot girl bummer,742,5,312411378
70,Mariah Carey ,All I Want for Christmas Is You,426,1,312323662
71,benny blanco ,Eastside,672,7,308890413
72,Juice WRLD ,Bandit,670,2,307048160
73,Future ,Life Is Good,601,2,305783118
74,YNW Melly ,Murder On My Mind,771,4,305306060
75,Olivia Rodrigo ,deja vu,562,2,304638969
76,Polo G ,RAPSTAR,519,1,299470033
77,Luke Combs ,Beautiful Crazy,1123,54,298483119
78,21 Savage ,Bank Account,553,1,298320136
79,Drake ,Wants and Needs,645,2,297154583
80,Cardi B ,WAP,417,1,296670667
81,Travis Scott ,HIGHEST IN THE ROOM,602,1,295198938
82,Lil Tecca ,Ransom,465,1,292578295
83,Sheck Wes ,Mo Bamba,421,1,289673118
84,Post Malone ,White Iverson,1069,7,288882157
85,Drake ,In My Feelings,348,1,288633458
86,Lil Nas X ,MONTERO (Call Me By Your Name),410,1,288187067
87,French Montana ,Unforgettable,501,1,287042302
88,Drake ,Nonstop,478,1,286786239
89,Post Malone ,Candy Paint,717,4,286217712
90,DRAM ,Broccoli,646,3,285106532
91,Dua Lipa ,Don't Start Now,646,4,284754771
92,Juice WRLD ,Come & Go,644,1,280531842
93,Juice WRLD ,Wishing Well,625,1,277821416
94,DaBaby ,BOP,622,1,277705797
95,Lil Uzi Vert ,20 Min,1012,45,277454899
96,Travis Scott ,BUTTERFLY EFFECT,682,9,276763296
97,Brenda Lee ,Rockin' Around The Christmas Tree,340,1,276529912
98,Drake ,Knife Talk,471,2,275693546
99,Pop Smoke ,For The Night,512,2,274720487
100,Drake ,Fake Love,525,1,274318587
101,Internet Money ,Lemonade,517,1,273391855
102,Tyga ,Taste,486,3,272293130
103,Future ,Mask Off,441,2,271944410
104,Olivia Rodrigo ,traitor,522,3,271379624
105,DaBaby ,Suge,516,3,270915921
106,SZA ,Good Days,604,1,270125295
107,Doja Cat ,Need To Know,460,3,268475081
108,Drake ,Money In The Grave (Drake ft. Rick Ross),467,1,265919957
109,Mustard ,Ballin',656,10,265117682
110,Bryson Tiller ,Don't,1008,7,264444220
111,Harry Styles ,Adore You,633,1,264055553
112,Imagine Dragons ,Believer,745,9,263375966
113,Lauv ,I Like Me Better,930,30,263177728
114,Migos ,Bad and Boujee,491,1,262086852
115,KYLE ,iSpy,512,2,262041081
116,Luis Fonsi ,Despacito  Remix,344,1,260702344
117,Kodak Black ,ZEZE,402,1,260612786
118,Lil Uzi Vert ,The Way Life Goes,834,4,260565170
119,Khalid ,Better,519,7,259760668
120,Sam Hunt ,Body Like A Back Road,703,12,259538408
121,A Boogie Wit da Hoodie ,Swervin,564,6,258648283
122,Imagine Dragons ,Thunder,724,16,257758821
123,Tones And I ,Dance Monkey,539,6,256274759
124,The Chainsmokers ,Don't Let Me Down,568,4,251672744
125,Polo G ,Pop Out,647,8,251658876
126,Chris Brown ,No Guidance,550,3,250362082
127,Drake ,Passionfruit,622,1,249576463
128,Steve Lacy ,Dark Red,513,11,249198471
129,Juice WRLD ,Armed And Dangerous,756,9,248991383
130,Camila Cabello ,Havana,484,2,247086289
131,Morgan Wallen ,Wasted On You,687,1,246675467
132,Drake ,Laugh Now Cry Later,449,2,246389835
133,Bruno Mars ,That's What I Like,517,3,245642565
134,Kendrick Lamar ,DNA.,451,2,242841173
135,The Weeknd ,Save Your Tears,692,2,242055670
136,Polo G ,Martin & Gina,702,21,241128929
137,The Weeknd ,Die For You,682,10,240869086
138,Eminem ,Godzilla,665,2,240271807
139,Big Sean ,Bounce Back,531,3,239157563
140,Steve Lacy ,Bad Habit,183,1,239087671
141,Jack Harlow ,WHATS POPPIN,519,2,238356467
142,XXXTENTACION ,Everybody Dies In Their Nightmares,772,6,238214306
143,Desiigner ,Panda,518,1,237739871
144,Shawn Mendes ,Señorita,400,1,236868842
145,Fleetwood Mac ,Dreams  2004 Remaster,781,6,236167945
146,Cardi B ,Bodak Yellow,489,2,235788390
147,Bobby Helms ,Jingle Bell Rock,335,1,235335220
148,Drake ,Jumpman,584,2,235129660
149,Trevor Daniel ,Falling,455,4,234818302
150,Bad Bunny ,DÁKITI,596,1,234636216
151,Rihanna ,Needed Me,494,2,233794067
152,5 Seconds of Summer ,Youngblood,608,12,233302902
153,The Killers ,Mr. Brightside,877,35,232977345
154,Baby Keem ,family ties,487,3,232461442
155,Doja Cat ,Woman,489,7,232370353
156,Arctic Monkeys ,505,692,13,231800625
157,Lil Nas X ,Old Town Road  Remix,317,1,229868299
158,DJ Khaled ,I'm the One,332,2,227464533
159,Drake ,Hotline Bling,555,1,226915487
160,A Boogie Wit da Hoodie ,Drowning,591,18,225834058
161,XXXTENTACION ,changes,560,4,225063813
162,Machine Gun Kelly ,my ex's best friend,596,9,223702831
163,Bazzi ,Mine,510,3,223577524
164,Zedd ,The Middle,561,5,223370198
165,Justin Bieber ,Sorry,466,1,222779216
166,Conan Gray ,Heather,647,8,222474626
167,Post Malone ,Goodbyes (Feat. Young Thug),329,1,220243023
168,XXXTENTACION ,Look At Me!,668,20,218130170
169,Bad Bunny ,Me Porto Bonito,237,2,217545422
170,J. Cole ,Wet Dreamz,1130,12,217277232
171,Andy Williams ,It's the Most Wonderful Time of the Year,342,3,214480695
172,Jack Harlow ,WHATS POPPIN,444,6,212620780
173,Lewis Capaldi ,Before You Go,672,39,211623667
174,Juice WRLD ,Lean Wit Me,671,8,209772076
175,Tame Impala ,The Less I Know The Better,893,103,209554986
176,G-Eazy,"Eazy  Me, Myself & I",513,2,208480098
177,Bad Bunny ,Tití Me Preguntó,237,3,207857104
178,Twenty One Pilots ,Ride,708,4,207848346
179,Kendrick Lamar ,All The Stars,404,2,207519025
180,Twenty One Pilots ,Stressed Out,706,3,207439306
181,Billie Eilish ,Happier Than Ever,459,3,207031225
182,Aminé ,Caroline,537,6,206635412
183,6ix9ine ,FEFE,271,2,206222122
184,Drake ,Too Good,359,2,205088227
185,"Tyler, The Creator ",EARFQUAKE,526,1,204484344
186,Khalid ,Love Lies,445,8,204075140
187,Justin Bieber ,Peaches,312,1,203494777
188,Kendrick Lamar ,Money Trees,726,38,203375167
189,Young Thug ,The London,401,1,203093189
190,Future ,Low Life,604,11,202769617
191,Panic! At The Disco ,High Hopes,535,12,201888489
192,SAINt JHN ,Roses  Imanbek Remix,431,5,201135462
193,Powfu ,death bed,478,9,200371352
194,Rae Sremmurd ,Black Beatles,384,1,200178133
195,Rihanna ,Work,408,1,199973584
196,Billie Eilish ,everything i wanted,435,1,199922212
197,Jonas Brothers ,Sucker,414,1,199695180
198,Rich The Kid ,Plug Walk,417,6,198858962
199,Justin Bieber ,Love Yourself,458,1,198773307
200,Migos ,Slippery,477,17,197966789
201,21 Savage ,a lot,412,2,197950103
202,Flipp Dinero ,Leave Me Alone,418,10,197450612
203,Dan + Shay ,Tequila,723,48,196958667
204,Bryson Tiller ,Exchange,837,22,196861471
205,Twenty One Pilots ,Heathens,410,3,195918435
206,Doja Cat ,Streets,477,3,195884808
207,Wham! ,Last Christmas,315,4,195381527
208,Jack Harlow ,First Class,231,1,195314542
209,Fetty Wap ,Trap Queen,622,1,194792972
210,The Weeknd ,Can't Feel My Face,543,1,194406860
211,Bruno Mars ,Leave The Door Open,400,2,193296752
212,Kodak Black ,Roll In Peace,518,21,192647458
213,The Neighbourhood ,Daddy Issues,705,50,192551331
214,Morgan Wallen ,More Than My Hometown,697,18,191448082
215,Gucci Mane ,Wake Up in the Sky,340,6,189926403
216,Marshmello ,Silence,468,7,189144242
217,Michael Bublé ,It's Beginning to Look a Lot Like Christmas,357,3,187463596
218,Maroon 5 ,Girls Like You,383,6,186579571
219,Justin Bieber ,What Do You Mean?,413,1,185795808
220,The Weeknd ,Call Out My Name,471,1,185191010
221,BØRNS ,Electric Love,737,39,185017224
222,NF ,Let You Down,480,9,184436690
223,Fifth Harmony ,Work from Home,420,3,184122003
224,Drake ,Controlla,400,4,183609837
225,Morgan Wallen ,Chasin' You,687,47,183121183
226,Ariana Grande ,Santa Tell Me,348,5,182490361
227,Ed Sheeran ,Thinking out Loud,792,1,182153495
228,Pop Smoke ,What You Know Bout Love,422,5,182024316
229,Lil Mosey ,Noticed,531,17,181647697
230,Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,442,2,181197216
231,Ed Sheeran ,Perfect,488,11,180975541
232,Ariana Grande ,no tears left to cry,384,6,180563889
233,Chance the Rapper ,No Problem,568,13,180053419
234,Mustard ,Pure Water,396,11,180042907
235,Dan + Shay ,Speechless,662,67,179301739
236,The Chainsmokers ,Roses,520,5,178699372
237,Khalid ,Talk,341,5,178662883
238,G,Eazy  No Limit,373,2,178639729
239,21 Savage ,X,555,14,178576237
240,Surf Curse ,Freaks,556,29,178535641
241,Demi Lovato ,Sorry Not Sorry,379,6,177157747
242,Billie Eilish ,bury a friend,364,3,176834584
243,Kodak Black ,Tunnel Vision,396,5,176688536
244,Surfaces ,Sunday Best,412,13,176430872
245,Sleepy Hallow ,2055,454,7,176244822
246,Dan + Shay ,"10,000 Hours",465,2,175930281
247,Migos ,Stir Fry,336,2,175630677
248,A Boogie Wit da Hoodie ,Look Back At It,366,8,175483878
249,Justin Bieber ,Intentions,328,2,175135180
250,Post Malone ,Go Flex,673,19,174710816
251,The Walters ,I Love You So,431,7,174547021
252,Ed Sheeran ,Bad Habits,350,7,174488164
253,A$AP Ferg ,Plain Jane,408,6,174255086
254,Famous Dex ,PICK IT UP,421,13,173990426
255,Major Lazer ,Lean On,588,2,173817845
256,Elton John ,Cold Heart  PNAU Remix,408,9,173542648
257,Dua Lipa ,New Rules,399,11,173328947
258,Ed Sheeran ,Shivers,399,6,173225595
259,Mac Miller ,The Spins,612,54,173209349
260,Adele ,Easy On Me,246,1,173180228
261,Ariana Grande ,positions,333,1,172797966
262,Tate McRae ,you broke me first,503,16,172703722
263,Kodak Black ,Super Gremlin,346,2,171909115
264,Lil Nas X ,Panini,249,1,171512571
265,Drake ,Way 2 Sexy,280,1,170202629
266,Roddy Ricch ,High Fashion,354,4,169149991
267,Ed Sheeran ,I Don't Care,323,1,168839409
268,Billie Eilish ,ocean eyes,623,61,168543006
269,"Tyler, The Creator ",See You Again,565,24,168256802
270,Migos ,Walk It Talk It,358,3,168214275
271,Lady Gaga ,Shallow,403,6,167883840
272,Drake ,Jimmy Cooks,195,1,166499191
273,Doja Cat ,Say So,308,2,165898476
274,Fetty Wap ,679,501,2,165220739
275,Kali Uchis ,telepatía,395,3,164803198
276,Calboy ,Envy Me,440,22,164149940
277,Justin Bieber ,Ghost,399,9,163964781
278,Adele ,Hello,404,1,163937424
279,Joji ,Glimpse of Us,201,1,163315058
280,Burl Ives ,A Holly Jolly Christmas  Single Version,278,5,163198351
281,Julia Michaels ,Issues,414,11,163082925
282,Kate Bush ,Running Up That Hill (A Deal With God),182,1,163034803
283,Migos ,TShirt,393,6,162318539
284,Giveon ,HEARTBREAK ANNIVERSARY,371,8,162181516
285,ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker),378,3,161895465
286,Drake ,Toosie Slide,239,1,161667752
287,Kanye West ,Father Stretch My Hands Pt. 1,607,4,161479699
288,Zedd ,Stay,317,9,161032066
289,Major Lazer ,Cold Water,274,1,160700352
290,Lil Nas X ,THATS WHAT I WANT,358,2,160369392
291,Future ,WAIT FOR U,243,2,160359546
292,Lil Uzi Vert ,Sanguine Paradise,382,6,160244733
293,Maroon 5 ,Memories,372,6,159686092
294,Lil Pump ,Gucci Gang,242,2,159368635
295,Lil Uzi Vert ,Money Longer,648,33,159142673
296,DJ Snake ,Let Me Love You,300,3,158366154
297,Hailee Steinfeld ,Starving,423,9,158320524
298,JP Saxe ,If The World Was Ending,520,43,156928093
299,The Chainsmokers ,Something Just Like This,364,2,156839599
300,Olivia Rodrigo ,favorite crime,384,4,156762362
301,Chris Stapleton ,Tennessee Whiskey,747,34,156707370
302,Gucci Mane ,I Get The Bag,335,7,156184444
303,Masked Wolf ,Astronaut In The Ocean,290,4,155387513
304,Khalid ,Saturday Nights,391,13,154969059
305,H.E.R. ,Best Part,635,53,154582091
306,Rob $tone ,Chill Bill,442,10,154052440
307,YNW Melly ,223's,325,4,152984591
308,Hozier ,Take Me To Church,644,1,152777306
309,Ed Sheeran ,Beautiful People,309,3,152409919
310,Ariana Grande ,"break up with your girlfriend, i'm bored",235,1,152246486
311,Playboi Carti ,Magnolia,365,10,151502606
312,Beach House ,Space Song,549,55,151348745
313,JAY,Z  Ni**as In Paris,995,97,151213181
314,Calvin Harris ,This Is What You Came For,288,2,149620244
315,Ariana Grande ,34+35,291,1,148864140
316,Don Toliver ,After Party,400,11,148828688
317,Lizzo ,About Damn Time,243,3,148776441
318,Calvin Harris ,Slide,281,8,148615807
319,Juice WRLD ,Righteous,333,2,148152203
320,THE SCOTTS ,THE SCOTTS,237,1,147793519
321,The Kid LAROI ,WITHOUT YOU,338,6,147434939
322,Young Thug ,pick up the phone,552,29,146950542
323,Zach Bryan ,Something in the Orange,251,4,146934063
324,Justin Timberlake ,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",437,5,146405505
325,Shawn Mendes ,Stitches,535,5,146222899
326,Pop Smoke ,Dior,532,15,145804298
327,Doja Cat ,Ain't Shit,356,4,145660715
328,Lil Tjay ,Calling My Phone,301,1,145633110
329,Charlie Puth ,Attention,346,16,145299789
330,Lil Skies ,Nowadays,441,24,144878462
331,Doja Cat ,You Right,386,4,144688259
332,Drake ,Portland,331,2,144664417
333,Bing Crosby ,White Christmas,280,1,144606354
334,Harry Styles ,Late Night Talking,219,2,144096811
335,Jay Rock ,King's Dead,292,7,144088666
336,Cardi B ,Up,247,2,143743718
337,Bad Bunny ,MIA,287,2,143656931
338,Hailee Steinfeld ,Let Me Go,357,17,143350902
339,The Weeknd ,I Feel It Coming,331,5,143319177
340,Sia ,Cheap Thrills,371,9,142986096
341,SZA ,Love Galore,426,23,142655912
342,Lukas Graham ,7 Years,414,2,142277410
343,Morgan Wallen ,You Proof,230,9,141716685
344,gnash ,"i hate u, i love u",385,16,141690287
345,Rae Sremmurd ,Swang,393,21,141632137
346,Nat King Cole ,The Christmas Song (Merry Christmas To You),232,5,141071360
347,Dean Lewis ,Be Alright,453,19,141016791
348,Post Malone ,I Like You (A Happier Song),208,2,140872042
349,Lil Xan ,Betrayed,374,21,140250610
350,Yot Club ,YKWIM?,504,58,139804345
351,Kendrick Lamar ,LOYALTY. FEAT. RIHANNA.,330,4,139730182
352,Sam Smith ,Dancing With A Stranger,328,10,138760630
353,Doja Cat ,Get Into It (Yuh),391,16,138640495
354,Migos ,MotorSport,311,6,138467640
355,Carolina Gaitán ,La Gaita  We Don't Talk About Bruno,201,1,138398595
356,Harry Styles ,Falling,501,4,138072456
357,DJ Khaled ,Wild Thoughts,231,1,138033504
358,Lil Uzi Vert ,You Was Right,501,26,138001040
359,Kiiara ,Gold,403,18,137920503
360,Kanye West ,Heartless,439,38,137403023
361,Luke Combs ,Forever After All,403,2,137048398
362,Mark Ronson ,Uptown Funk,531,1,136885294
363,Frank Sinatra ,Let It Snow! Let It Snow! Let It Snow!,305,8,136448853
364,Y2K ,Lalala,321,11,136394278
365,Ski Mask The Slump God ,Faucet Failure,415,25,136293354
366,Jack Ü ,Where Are Ü Now,447,3,135999812
367,Flo Rida ,My House,411,4,135782448
368,Noah Cyrus ,July,509,56,135753612
369,Lil Tjay ,F.N,442,23,135359031
370,DJ Khaled ,POPSTAR,317,1,135192435
371,Saweetie ,Best Friend,299,10,135156338
372,Bad Bunny ,Efecto,236,9,134743830
373,The Weeknd ,Save Your Tears,327,2,134482363
374,Ariana Grande ,Side To Side,332,5,134449731
375,Bad Bunny ,Yonaguni,347,3,133665412
376,Liam Payne ,Strip That Down,311,11,133182143
377,The Weeknd ,Earned It (Fifty Shades Of Grey),532,2,132827332
378,Drake ,Fair Trade,301,2,132758753
379,Morgan Wallen ,Sand In My Boots,460,4,132664367
380,Trippie Redd ,Miss The Rage,349,3,132399703
381,Bruno Mars ,24K Magic,349,5,132118188
382,Lil Nas X ,Old Town Road,175,1,132031403
383,ZAYN ,PILLOWTALK,297,1,131983424
384,BTS ,Dynamite,332,3,131917493
385,Kygo ,It Ain't Me,272,3,130487216
386,DaBaby ,VIBEZ,285,4,129872425
387,Russ ,Losin Control,512,58,129835284
388,Portugal. The Man ,Feel It Still,331,13,129571919
389,NEIKED ,Better Days (NEIKED x Mae Muller x Polo G),321,6,129400161
390,Shawn Mendes ,Treat You Better,321,10,129275991
391,Bad Bunny ,Moscow Mule,219,1,128972121
392,Cardi B ,Money,273,9,128812752
393,Morgan Wallen ,7 Summers,388,3,128247607
394,José Feliciano ,Feliz Navidad,222,6,128148147
395,Travis Scott ,YOSEMITE,320,7,127780533
396,Famous Dex ,JAPAN,299,11,127676006
397,Farruko ,Pepas,337,16,127483860
398,Justin Bieber ,Mistletoe,295,13,127188550
399,THE ANXIETY ,Meet Me At Our Spot,281,8,126861687
400,Polo G ,21,425,35,126417091
401,Vance Joy ,Riptide,753,12,126349492
402,DJ Snake ,Taki Taki,238,4,126096694
403,Grouplove ,Tongue Tied,525,100,125880696
404,Diplo ,Heartless,444,53,125811158
405,StaySolidRocky ,Party Girl,239,2,125662367
406,Taylor Swift ,AntiHero,69,1,124825787
407,Quality Control ,Baby (Lil Baby feat. DaBaby),308,14,124162581
408,Billie Eilish ,idontwannabeyouanymore,400,40,123991487
409,Queen ,Bohemian Rhapsody  Remastered 2011,420,36,123761624
410,NLE Choppa ,Camelot,297,7,123589568
411,Luke Combs ,When It Rains It Pours,565,84,123431139
412,Flume ,Never Be Like You,357,14,123343026
413,J Balvin ,LA CANCIÓN,443,30,123298668
414,Lil Baby ,Woah,269,11,122876453
415,OneRepublic ,I Ain't Worried,206,6,122488638
416,Playboi Carti ,Shoota,420,23,122469617
417,2 Chainz ,It's A Vibe,403,35,122067552
418,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),234,7,121176458
419,Juice WRLD ,Legends,418,4,121077739
420,Rae Sremmurd ,Powerglide,263,15,120839941
421,XXXTENTACION ,Revenge,412,16,120698497
422,Ariana Grande ,God is a woman,227,4,120468984
423,Chris Brown ,Go Crazy,345,19,120431219
424,Martin Garrix ,In the Name of Love,304,11,120205635
425,Sam Smith ,Unholy,98,1,120201022
426,Pop Smoke ,Mood Swings,306,9,119371547
427,The Chainsmokers ,Paris,224,3,119358756
428,Lil Skies ,Red Roses,365,36,119331204
429,Wiz Khalifa ,See You Again,452,1,119131650
430,Billie Eilish ,wish you were gay,271,2,119110503
431,Måneskin ,Beggin',231,4,118922920
432,DNCE ,Cake By The Ocean,420,14,118801783
433,Kanye West ,Bound 2,361,20,118764637
434,Travis Scott ,Antidote,535,12,118146637
435,The Kid LAROI ,GO,350,12,117833168
436,Post Malone ,Take What You Want,229,2,117464544
437,Michael Bublé ,Holly Jolly Christmas,266,13,117362413
438,Jordan Davis ,Buy Dirt,446,58,117239640
439,Bad Bunny ,Ojitos Lindos,226,10,117064880
440,Cochise ,Tell Em,352,26,116861554
441,Miguel ,Sky Walker,302,19,116395947
442,Lil Peep ,Falling Down  Bonus Track,236,1,116066331
443,Kelly Clarkson ,Underneath the Tree,202,8,115764085
444,Lil Skies ,Lust,426,75,115693481
445,The Weeknd ,Heartless,232,1,115431955
446,Ellie Goulding ,Hate Me,370,13,115056947
447,Wallows ,Are You Bored Yet?,420,54,114791296
448,Travis Scott ,STARGAZING,225,1,114669162
449,Ariana Grande ,Into You,305,10,114250630
450,Eminem ,'Till I Collapse,771,41,114132725
451,NLE Choppa ,Walk Em Down,246,12,113510926
452,DJ Snake ,Middle,353,14,113465863
453,Khalid ,OTW,294,17,113437143
454,Taylor Swift ,You Need To Calm Down,250,1,113303615
455,Playboi Carti ,Sky,361,25,113291304
456,Lil Wayne ,Sucker For Pain,344,12,113258771
457,Maroon 5 ,What Lovers Do,227,7,113203255
458,d4vd ,Romantic Homicide,149,2,112839982
459,Drake ,I'm Upset,170,4,112748287
460,GAYLE ,abcdefu,210,5,112733991
461,Justin Bieber ,Holy,248,1,112093148
462,YNW Melly ,Suicidal,216,6,111505967
463,Post Malone ,Enemies,255,3,111333320
464,CJ ,Whoopty,230,3,111327394
465,WILLOW ,Wait a Minute!,384,12,111162304
466,Ed Sheeran ,Photograph,679,16,111120972
467,A$AP Rocky ,Praise The Lord (Da Shine),281,5,110819424
468,21 Savage ,No Heart,382,18,110613158
469,YG ,BIG BANK,267,21,110251626
470,Billie Eilish ,Therefore I Am,237,1,109936841
471,Nio Garcia ,Te Boté  Remix,303,35,109733059
472,Cardi B ,Bartier Cardi,221,3,109650225
473,Kid Cudi ,Pursuit Of Happiness (Nightmare),413,47,109480124
474,J Balvin ,Mi Gente,238,7,109423268
475,Ava Max ,Sweet but Psycho,320,30,109220489
476,Walker Hayes ,Fancy Like,303,20,109183937
477,Selena Gomez ,Lose You To Love Me,186,1,109150331
478,Olivia Rodrigo ,happier,228,5,109009363
479,Dean Martin ,Let It Snow! Let It Snow! Let It Snow!,187,7,108868445
480,Lil Durk ,Broadway Girls,291,4,108689365
481,Morgan Wallen ,Cover Me Up,437,23,108508201
482,blackbear ,do re mi,373,26,108380091
483,Sam Smith ,Stay With Me,548,1,108129184
484,Shawn Mendes ,There's Nothing Holdin' Me Back,278,26,107955518
485,Kanye West ,I Love It (& Lil Pump),175,1,107854141
486,Jeremih ,oui,419,21,107730094
487,Camila Cabello ,Never Be the Same,236,5,107372683
488,Billie Eilish ,you should see me in a crown,325,7,107243178
489,Shawn Mendes ,If I Can't Have You,209,3,107192421
490,Yo Gotti ,Rake It Up,284,17,107156568
491,Post Malone ,Ball For Me,215,8,107079418
492,Post Malone ,One Right Now,261,1,106856619
493,Olivia Rodrigo ,"jealousy, jealousy",256,9,106842027
494,Eminem ,Lucky You,207,1,106685258
495,Olivia Rodrigo ,brutal,211,2,106587197
496,Ali Gatie ,It's You,297,15,106473404
497,Bazzi ,Beautiful,290,28,105769712
498,Rich The Kid ,New Freezer,310,25,105262051
499,Niall Horan ,Slow Hands,271,24,105220848
500,Frank Ocean ,Lost,303,10,105158717
501,Pooh Shiesty ,Back In Blood,283,9,105011176
502,Maroon 5 ,Sugar,478,1,104864460
503,Elvis Presley ,Blue Christmas,254,11,104768563
504,Lil Baby ,We Paid,283,9,104746275
505,The Ronettes ,Sleigh Ride,188,10,104353068
506,Childish Gambino ,This Is America,157,1,103964722
507,Russ ,What They Want,537,56,103833455
508,Lil Peep ,Star Shopping,416,88,102969266
509,YNW Melly ,Mixed Personalities,225,12,102953208
510,Sam Smith ,Too Good At Goodbyes,219,3,102793276
511,JACKBOYS ,OUT WEST,262,2,102677098
512,Halsey ,Now Or Never,254,12,102516119
513,Jack Harlow ,Tyler Herro,285,9,102414445
514,Marshmello ,FRIENDS,234,15,102354557
515,XXXTENTACION ,Hope,327,10,102329254
516,Halsey ,Bad At Love,260,22,101922633
517,$uicideboy$ ,"...And to Those I Love, Thanks for Sticking Around",392,35,101882235
518,Lil Dicky ,Freaky Friday,192,5,101868561
519,Juice WRLD ,Wasted,268,20,101797919
520,Metro Boomin ,Space Cadet,266,15,101688152
521,Zara Larsson ,Never Forget You,280,9,101316722
522,PARTYNEXTDOOR ,Come and See Me,448,51,101074101
523,Taylor Swift ,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),205,1,100920020
524,Imagine Dragons ,Enemy,231,5,100835953
525,Perry Como ,It's Beginning to Look a Lot Like Christmas,206,13,100817505
526,Megan Thee Stallion ,Savage Remix,196,2,100761690
527,Nicky Youre ,Sunroof,238,19,100753638
528,Drake ,Pop Style,280,3,100358319
529,Drake ,Back To Back,410,10,100323465
530,Selena Gomez ,Wolves,212,3,100276358
531,WALK THE MOON ,Shut Up and Dance,480,5,100209488
532,Big Sean ,I Don't Fuck With You,532,2,99659160
533,Lord Huron ,The Night We Met,405,43,99390592
534,XXXTENTACION ,the remedy for a broken heart (why am I so in love),287,8,99380590
535,Ritt Momney ,Put Your Records On,277,13,99070218
536,Stephen Sanchez ,Until I Found You,229,27,98647110
537,Charlie Puth ,We Don't Talk Anymore,319,15,98211121
